,,,,Note: This mapping should be used along with EF Group by FB to assign EFs.,,,,"CO2, CH4","CO, NOx, NH3, SO2, PM25","CO2, CO, CH4","NOx, NH3, SO2, PM25","CO2, CO, CH4, NH3, PM2.5","NOx, SO2","CO2, CO, CH4","NOx, NH3, SO2, PM25","CO2, CO, CH4, PM2.5","NOx, NH3, SO2","CO2, CO, CH4","NOx, NH3, SO2, PM25","CO2, CO, CH4, PM25","NOx, NH3, SO2","CO2, CO, CH4, NH3, PM25","NOx, SO2","CO2, CO, CH4, NH3, PM25","NOx, SO2","CO2, CO, CH4",,"Most of the time, the emissions module will use these rules (but see exceptions)",,,These are just for reference purposes.,,,,,,,,,,EF Group,CO2,CO,CH4,NOx,NH3,SO2,PM2.5,
"Duff = Ground fuels: upper duff, lower duff, basal accumulations (BA), squirrel middens (SM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CWD = Class 2 and 3 snags, coarse wood under woody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Follow this table for where residual emissions are expected (only N/A are not),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Duff/CWD,Consume output variable,Category,CombustionPhase,Generic Assignment,9-11: SE Grass,9-11: SE Grass,12-14: SE Hdwd,12-14: SE Hdwd,15-17: SE Pine,15-17: SE Pine,18-20: SE Shrub,18-20: SE Shrub,21-23: W MC,21-23: W MC,24-26: W Grass,24-26: W Grass,27-29: W Hdwd,27-29: W Hdwd,30-32: W Shrub,30-32: W Shrub,30-32: W Shrub,30-32: W Shrub,33-35: Boreal,,Simplified Rules,EF Group,,Group #,# Cover Type,Note,,,,,,,SE grass F/S,9,1700,70.2,2.67,3.26,1.2,0.97,12.08,
C_over_crown,canopy,overstory,,C_over_crown_F,Overstory tree crowns,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,All outputs except for below:,Flaming/Short-term smoldering EF Groups 1-6,,1,Southeastern Forest,Assigned by fuelbed,,,,,,,SE Grass F,10,1710,,2.42,,,,,
,,,,C_over_crown_S,Overstory tree crowns,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,,,,2,Boreal Forest,Assigned by fuelbed,,,,,,,SE Grass S,11,1538,,5.4,,,,,
,,,,C_over_crown_R,Overstory tree crowns,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,C_wood_S1000hr_R,Woody RSC (7),,3,Western Forest - Rx,Assigned by fuelbed and burn type (prescribed or wildfire),,,,,,,SE Hdwd F/S,12,1688,78.9,2.42,2.43,1.79,0.63,14.32,
C_mid_crown,canopy,midstory,,C_mid_crown_F,Midstory tree crowns,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,C_wood_R1000hr_R,Woody RSC (7),,4,Western Forest - WF,Assigned by fuelbed and burn type (prescribed or wildfire),,,,,,,SE Hdwd F,13,1702,68.6,1.92,,,,,
,,,,C_mid_crown_S,Midstory tree crowns,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,C_wood_R10k_R,Woody RSC (7),,5,Shrubland,Assigned by fuelbed,,,,,,,SE Hdwd S,14,1580,129.5,5.9,,,,,
,,,,C_mid_crown_R,Midstory tree crowns,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,C_wood_S10k_R,Woody RSC (7),,6,Grassland,Assigned by fuelbed,,,,,,,SE Pine F/S,15,1606,94.6,3.74,1.96,0.7,0.79,29.43,
C_under_crown,canopy,understory,,C_under_crown_F,Understory tree crowns,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,C_wood_+S10k_R,Woody RSC (7),,7,Woody RSC,,,,,,,,SE Pine F,16,1677,72.4,2.38,,0.48,,17.56,
,,,,C_under_crown_S,Understory tree crowns,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,C_wood_+R10k_R,Woody RSC (7),,8,Duff RSC,,,,,,,,SE Pine S,17,1394,156.2,8.72,,1.01,,58.04,
,,,,C_under_crown_R,Understory tree crowns,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,C_stump_rotten_R,Woody RSC (7),,,,,,,,,,,SE Shrub F/S,18,1703,74.3,2.44,4.23,2.21,0.87,12.03,
C_snagc1f_crown,canopy,snags class 1 foliage,,C_snagc1f_crown_F,Class 1 snag with foliage crowns,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,C_stump_lightered_R,Woody RSC (7),,,,,,,,,,,SE Shrub F,19,1743,72.4,2.24,,,,,
,,,,C_snagc1f_crown_S,Class 1 snag with foliage crowns,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,,,,Proportion consumption by combustion phase,,,,,,,,,SE Shrub S,20,1461,93.8,3.3,,,,,
,,,,C_snagc1f_crown_R,Class 1 snag with foliage crowns,Residual,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,C_upperduff_R,Duff RSC (8),,Consume 4.2,,,,,,,,,W MC F/S,21,1603.16,108.47,5.63,3.22,1.07,0.88,15.30,
C_snagc1f_wood,canopy,snags class 1 wood,,C_snagc1f_wood_F,Class 1 snag with foliage wood,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,C_lowerduff_R,Duff RSC (8),,,,,,,,,,,W MC F,22,1665.93,83.61,3.88,,,,13.73,
,,,,C_snagc1f_wood_S,Class 1 snag with foliage wood,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,C_BA_R,Duff RSC (8),,Fuelbed stratum/category,Flaming,Smoldering,Residual,Total,,,,,W MC S,23,1592.10,139.83,7.58,,,,25.38,
,,,,C_snagc1f_wood_R,Class 1 snag with foliage wood,Residual,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,C_SM_R,Duff RSC (8),,Canopy,,,,,,,,,W Grass F/S,24,1531,55.8,1.98,,0.3,,9.89,
C_snagc1,canopy,snags class 1 no foliage,,C_snagc1_F,Class 1 snag other wood,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,,,,Overstory,0.75,0.05,0,0.8,,,,,W Grass F,25,1638,45,1.67,,,,,
,,,,C_snagc1_S,Class 1 snag other wood,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,,,,Midstory,0.8,0.05,0,0.85,,,,,W Grass S,26,1102,98.9,4.2,,,,,
,,,,C_snagc1_R,Class 1 snag wood,Residual,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,Note: Shawn U said to use the Duff RSC for all duff consumption (not just residual portion),,,Understory,0.85,0.05,0,0.9,,,,,W Hdwd F/S,27,1577,109.3,5.79,3.25,0.58,0.52,10.77,
C_snagc2,canopy,snags class 2,,C_snagc2_F,Class 2 snag wood,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,,,,Class 1 foliage,0.75,0.04,0.01,0.8,,,,,W Hdwd F,28,1711,55.3,1.89,,,,6.36,
,,,,C_snagc2_S,Class 2 snag wood,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,"EXCEPTIONS (F,S = separate flaming and smoldering EFs, F/S = single flaming/smoldering EF)",,,Class 1 wood ,0.03,0.01,0.01,0.05,,,,,W Hdwd S,29,1489,150.6,7.92,,,,12.84,
,,,CWD,C_snagc2_R,Class 2 snag wood,Residual,Woody RSC (7),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,Regional Cover Type (if present),Pollutants,,Class 2,0.05,0.01,0.01,0.07,,,,,W Shrub F/S,30,1570,107.2,2.51,3.57,1.48,0.53,7.99,
C_snagc3,canopy,snags class 3,,C_snagc3_F,Class 3 snag wood,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,"SE Grass (F, S)","CO2, CH4",,Class 3,0.1,0.2,0.2,0.5,,,,,W Shrub F,31,1696,66.4,2.02,,1.45,,6.97,
,,,,C_snagc3_S,Class 3 snag wood,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,SE Grass (F/S),"CO, NOx, NH3, SO2, PM25",,Ladder fuels,0.75,0.1,0,0.85,,,,,W Shrub S,32,1549,101.6,4.44,,2.12,,9.39,
,,,CWD,C_snagc3_R,Class 3 snag wood,Residual,Woody RSC (7),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,"SE Hdwd (F, S)","CO2, CO, CH4",,Shrub,,,,,,,,,,,,,,,,,,
C_ladder,canopy,ladder fuels,,C_ladder_F,Ladder fuel wood,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,SE Hdwd (F/S),"NOx, NH3, SO2, PM25",,Live shrub,0.95,0.05,0,1,,,,,Pollutant,Carbon Dioxide,Carbon Monoxide,Methane,Nitrogen Oxides,Ammonia,Sulfur Dioxide,PM2.5,PM10,Total non-methane VOCs
,,,,C_ladder_S,Ladder fuels,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,"SE Pine (F, S)","CO2, CO, CH4, NH3, PM2.5",,Dead shrub,0.9,0.1,0,1,,,,,Formula,CO2,CO,CH4,NOx,NH3,SO2,PM2.5,PM10,NMOC
,,,,C_ladder_R,Ladder fuel   ,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SE Pine (F/S),"NOx, SO2",,Herb ,,,,,,,,,1,1703,76,2.32,1.7,0.14,1.06,12.58,14.8444,16.046
C_shrub_1live,shrub,primary live,,C_shrub_1live_F,Shrubs - live primary layer,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,"SE Shrub (F, S)","CO2, CO, CH4",,Herbs,0.95,0.05,0,1,,,,,2,1641,95,3.38,1,0.79,1.06,21.5,25.37,23.152
,,,,C_shrub_1live_S,Shrubs - live primary layer,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,SE Shrub (F/S),"NOx, NH3, SO2, PM25",,Wood,,,,,,,,,3,1598,105,4.86,2.06,1.53,1.06,17.57,20.7326,26.975
,,,,C_shrub_1live_R,Shrubs - live primary layer,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"W MC (F,S)","CO2, CO, CH4, PM2.5",,Sound 0 to ¼ (1hr),0.95,0.05,0,1,,,,,4,1600,135,7.32,2,1.5,1.06,23.2,27.376,33.874
C_shrub_1dead,shrub,primary dead,,C_shrub_1dead_F,Shrubs - dead primary layer,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,W MC (F/S),"NOx, NH3, SO2",,Sound ¼ to 1 (10hr),0.9,0.1,0,1,,,,,5,1674,74,3.69,2.18,1.5,0.68,7.06,8.3308,17.4988
,,,,C_shrub_1dead_S,Shrubs - dead primary layer,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,"W Grass (F, S)","CO2, CO, CH4",,Sound 1 to 3 (100hr),0.85,0.1,0.05,1,,,,,6,1705,61,1.95,2.18,1.5,0.68,8.51,10.0418,17.6451
,,,,C_shrub_1dead_R,Shrubs - dead primary layer,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,W Grass (F/S),"NOx, NH3, SO2, PM25",,Sound 3 to 9 (1000hr),0.6,0.3,0.1,1,,,,,7,1408,229,13.94,0,0.48,0,33,38.94,45.175
C_shrub_2live,shrub,secondary live,,C_shrub_2live_F,Shrubs - live secondary layer,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,"W Hdwd (F,S)","CO2, CO, CH4, PM25",,"Sound 9 to 20 (10,000hr)",0.4,0.4,0.2,1,,,,,8,1371,257,7.945,0.67,2.67,1.76,35.3,41.654,61.6955
,,,,C_shrub_2live_S,Shrubs - live secondary layer,Smoldering,General (1-6),11,9,14,12,17,15,20,18,23,21,26,24,29,27,32,30,32,30,34,,W Hdwd (F/S),"NOx, NH3, SO2",,"Sound > 20 (>10,000hr)",0.2,0.4,0.4,1,,,,,,,,,,,,,,
,,,,C_shrub_2live_R,Shrubs - live secondary layer,Residual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"W Shrub (F,S)","CO2, CO, CH4, NH3, PM25",,Rotten 3 to 9 (1000hr),0.2,0.3,0.5,1,,,,,,,,,,,,,,
C_shrub_2dead,shrub,secondary dead,,C_shrub_2dead_F,Shrubs - dead secondary layer,Flaming,General (1-6),10,9,13,12,16,15,19,18,22,21,25,24,28,27,31,30,31,30,33,,W Shrub (F/S),"NOx, SO2",,"Rotten 9 to 20 (10,000hr)",0.1,0.3,0.6,1,,,,,,,,,,,,,,
