fccs_id,cover_type_id,,,
0,404,,,
1,13,,,
2,131,,,
3,136,,,
4,118,,,
5,118,,,
6,140,,,
7,136,,,
8,135,,,
9,135,,,
10,130,,,
11,130,,,
12,112,,,
13,112,,,
14,153,,,
15,154,,,
16,150,,,
17,114,,,
18,118,,,
19,119,,,
20,145,,,
21,125,,,
22,125,,,
23,125,,,
24,151,,,
25,146,,,
26,144,,,
27,144,,,
28,10,,,
29,113,,,
30,221,,,
32,144,,,
33,209,,,
34,118,,,
36,11,,,
37,144,,,
38,141,,,
39,150,,,
40,223,,,
41,1,,,
42,124,,,
43,148,,,
44,162,,,
45,148,,,
46,161,,,
47,139,,,
48,141,,,
49,166,,,
51,160,,,
52,118,,,
53,10,,,
54,118,,,
55,7,,,
56,186,,,
57,1,,,
58,7,,,
59,113,,,
60,186,,,
61,115,,,
62,164,,,
63,171,,,
65,169,,,
66,1,,,
67,118,,,
69,145,,,
70,113,,,
71,400,,,
72,400,,,
73,400,,,
74,400,,,
75,400,,,
76,400,,,
77,400,,,
78,403,,,
79,404,,,
80,404,,,
81,404,,,
82,403,,,
83,404,,,
84,400,,,
85,109,,,
86,109,,,
87,109,,,
88,109,,,
89,109,,,
90,52,,,
91,104,,,
92,104,,,
93,107,,,
94,108,,,
95,300,,,
97,317,,,
98,310,,,
99,304,,,
100,307,,,
101,104,,,
102,104,,,
103,104,,,
104,104,,,
105,104,,,
106,24,,,
107,63,,,
109,34,,,
110,38,,,
114,63,,,
115,403,,,
120,63,,,
121,63,,,
123,51,,,
124,63,,,
125,51,,,
129,85,,,
131,228,,,
133,281,,,
134,51,,,
135,64,,,
138,30,,,
140,14,,,
142,20,,,
143,16,,,
146,14,,,
147,14,,,
148,14,,,
152,30,,,
154,48,,,
155,24,,,
156,72,,,
157,71,,,
158,71,,,
161,70,,,
162,70,,,
164,65,,,
165,66,,,
166,66,,,
168,74,,,
170,74,,,
173,82,,,
174,98,,,
175,283,,,
176,295,,,
178,71,,,
180,51,,,
181,74,,,
182,67,,,
183,71,,,
184,75,,,
185,75,,,
186,75,,,
187,75,,,
188,65,,,
189,65,,,
190,67,,,
191,67,,,
196,70,,,
203,296,,,
208,121,,,
210,146,,,
211,144,,,
212,144,,,
213,1,,,
214,150,,,
215,141,,,
216,209,,,
217,209,,,
218,209,,,
219,118,,,
220,118,,,
221,1,,,
222,10,,,
223,118,,,
224,124,,,
225,124,,,
226,119,,,
227,119,,,
228,144,,,
229,144,,,
230,146,,,
231,127,,,
232,95,,,
233,7,,,
234,7,,,
235,1,,,
236,223,,,
237,164,,,
238,112,,,
239,136,,,
240,293,,,
241,66,,,
242,66,,,
243,63,,,
260,400,,,
261,404,,,
262,404,,,
263,404,,,
264,47,,,
265,18,,,
266,39,,,
267,26,,,
268,15,,,
269,41,,,
270,25,,,
272,103,,,
273,113,,,
274,41,,,
275,34,,,
276,292,,,
279,16,,,
280,253,,,
281,76,,,
282,70,,,
283,81,,,
284,60,,,
286,126,,,
287,32,,,
288,90,,,
289,101,,,
291,67,,,
301,13,,,
302,171,,,
303,142,,,
304,113,,,
305,128,,,
306,155,,,
307,225,,,
308,201,,,
309,167,,,
310,219,,,
311,210,,,
312,209,,,
313,209,,,
314,116,,,
315,168,,,
316,159,,,
317,214,,,
318,171,,,
319,133,,,
320,120,,,
321,131,,,
322,130,,,
323,124,,,
324,300,,,
325,104,,,
326,311,,,
327,311,,,
328,112,,,
329,311,,,
330,302,,,
331,300,,,
332,106,,,
333,306,,,
334,311,,,
335,312,,,
336,404,,,
337,308,,,
338,315,,,
339,315,,,
401,403,,,
402,71,,,
403,47,,,
404,56,,,
405,52,,,
406,41,,,
407,52,,,
408,20,,,
409,77,,,
410,63,,,
411,93,,,
412,164,,,
413,43,,,
414,64,,,
415,252,,,
416,64,,,
417,252,,,
418,401,,,
419,47,,,
420,228,,,
421,48,,,
422,228,,,
423,228,,,
424,101,,,
425,92,,,
426,85,,,
427,29,,,
428,296,,,
429,55,,,
430,51,,,
431,83,,,
432,102,,,
433,63,,,
434,47,,,
435,252,,,
436,262,,,
437,404,,,
438,101,,,
439,101,,,
440,101,,,
441,60,,,
442,404,,,
443,268,,,
445,404,,,
448,90,,,
449,62,,,
450,93,,,
451,93,,,
453,228,,,
454,21,,,
455,30,,,
456,400,,,
457,102,,,
458,403,,,
1201,404,,,
1202,404,,,
1203,404,,,
1205,404,,,
1223,404,,,
1225,404,,,
1241,404,,,
1242,404,,,
1243,404,,,
1244,404,,,
1245,404,,,
1247,404,,,
1252,404,,,
1260,404,,,
1261,404,,,
1262,404,,,
1271,404,,,
1273,402,,,
1280,404,,,
1281,404,,,
1290,404,,,
1291,404,,,
1292,404,,,
1293,404,,,
1294,404,,,
1295,404,,,
1296,404,,,
1297,404,,,
1298,404,,,
1299,404,,,